"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"2059","117011658390752_474352205990027","117011658390752","Otto Guevara Guth","2013-07-19T00:13:58+0000","2013-07-19","2013","07","19","19/07/13","6","Hoy, sin duda alguna Nelson Mandela vuelve a entregarle un gran regalo a su Nación. Después de haber marcado la vida de miles de personas en su lucha por la libertad e igualdad de derechos, Mandela le regala su cumpleaños número 95 al mundo. 
Aunque su estado de salud esté afectado, no deja de ser esta, una gran oportunidad para recordar y agradecer la labor de un gran hombre.","photo","193","14","207","2.6%","17.2%","2.4%","12.1%","https://www.facebook.com/photo.php?fbid=474352199323361&set=a.291889580902958.65806.117011658390752&type=1&relevant_count=1"
"561","69554133109_10151671388853110","69554133109","Johnny Araya","2013-08-17T14:49:38+0000","2013-08-17","2013","08","17","17/08/13","7","Transmisión en vivo a partir de las 11:00 a.m. 
www.johnnyaraya.cr","photo","200","7","207","2.6%","4.2%","2.4%","3.2%","https://www.facebook.com/photo.php?fbid=10151671388753110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2550","113998707676_10151489891017677","113998707676","José María Villalta Florez-Estrada","2013-06-12T15:35:31+0000","2013-06-12","2013","06","12","12/06/13","4","Mañana a las 8 de la mañana, en el Tribunal Contencioso Administrativo acudiremos a defender al Patronato Nacional de la Infancia para que el Estado le gire los recursos que le corresponden.","photo","192","15","207","2.6%","6.5%","2.4%","3.3%","https://www.facebook.com/photo.php?fbid=478050582279840&set=a.164810416937193.43096.142386395846262&type=1"
"421","303450469784702_321238244672591","303450469784702","Dr. Rodolfo Hernández","2013-04-22T16:32:50+0000","2013-04-22","2013","04","22","22/04/13","2","Quiero recordarles mi entrevista en el programa Cédula 5. Se transmitirá hoy 11am por Canal 36 o www.anexiontv.com espero que tengan el gusto de observarlo.","photo","206","1","207","2.6%","2.6%","2.4%","2.4%","https://www.facebook.com/photo.php?fbid=321238224672593&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"904","69554133109_10151156068018110","69554133109","Johnny Araya","2012-11-01T01:19:09+0000","2012-11-01","2012","11","01","01/11/12","5","Estamos a pocos minutos de iniciar la transmisión en vivo, lo pueden observar en www.johnnyaraya.com","photo","196","11","207","2.6%","4.2%","2.4%","3.2%","https://www.facebook.com/photo.php?fbid=10151156067978110&set=a.401533623109.182289.69554133109&type=1&relevant_count=1"
"2041","117011658390752_483398238418757","117011658390752","Otto Guevara Guth","2013-08-07T17:38:15+0000","2013-08-07","2013","08","07","07/08/13","4","Todos sabemos lo que cuesta llegar con dinero al final de la quincena; el costo de los servicios públicos va en aumento y lo vemos reflejado cada mes en el recibo de la luz. 

No podemos seguir así, por eso propongo en mi página web  soluciones para mejorar el costo de vida. 

Visítela: www.laspropuestasdeotto.com","video","193","13","206","2.6%","17.1%","2.4%","12.1%","http://goo.gl/zt4vwK"
"313","303450469784702_332053810257701","303450469784702","Dr. Rodolfo Hernández","2013-05-19T04:00:00+0000","2013-05-19","2013","05","19","19/05/13","1","Puntarenas está listo para iniciar el cambiohttp://www.youtube.com/watch?v=r_jytwq8e1o&feature=player_detailpage","video","194","12","206","2.6%","2.6%","2.4%","2.4%","http://www.youtube.com/watch?v=r_jytwq8e1o&feature=player_detailpage"
"3","303450469784702_380317062098042","303450469784702","Dr. Rodolfo Hernández","2013-09-03T03:40:34+0000","2013-09-03","2013","09","03","03/09/13","3","Hoy en la inauguración del V congreso Mesoamericano y del Caribe de Pediatría en Tegucigalpa, Honduras. Tengo el honor de ser invitado especial y expositor en el tema: Violencia Infantil y propuesta para evitarlo.","photo","201","4","205","2.5%","2.5%","2.4%","2.4%","https://www.facebook.com/photo.php?fbid=380317045431377&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"1881","199246583438202_586911284671728","199246583438202","Luis Guillermo Solís Rivera","2013-02-19T03:06:48+0000","2013-02-19","2013","02","19","19/02/13","3","Haciendo maleta. Mañana temprano salgo a Boston vía Miami para hacer la presentación en Harvard sobre procesos políticos y democracia (o falta de ella) en Centroamérica.  Será el miércoles seguida de un conversatorio con estudiantes y profesores del Rockefeller Center.  Me siento muy honrado de representar, aunque sea modestamente, a la academia costarricense en ese foro.","status","203","2","205","2.5%","31.6%","2.4%","17.1%","0"
"2758","113998707676_10151090155982677","113998707676","José María Villalta Florez-Estrada","2012-10-01T14:56:20+0000","2012-10-01","2012","10","01","01/10/12","2","Hoy 1 de octubre es el día decisivo para la nueva Ley de Vida Silvestre presentada por iniciativa popular. A más tardar a las 11:30 pm debe votarse en el Plenario. Los cazadores y depredadores ambientales hacen intenso cabildeo para que se vote en contra. El Gobierno -como siempre- titubea y ya hay varios diputados del PLN que afirman que no votarán el proyecto. Nosotros hacemos nuestro trabajo. Hasta el último momento explicaremos el proyecto para disipar los temores infundados. Hay buen ambiente para incluir las observaciones que han planteado la UCR y otras entidades. Pero el desenlace depende de la gente. De las más de 177 mil personas que firmaron. Si el pueblo que quiere una mejor ley para proteger nuestra flora y fauna silvestre no se manifiesta masivamente y se moviliza a las barras, es probable que el proyecto sea rechazado. Si hay movilización, si esas 177 mil firmas se hacen valer, hay esperanza. Es ahora o nunca. Después no digan que no avisamos...","status","165","39","204","2.5%","6.4%","2.3%","3.2%","0"
